0,Pelé,0.0,98,Icon,FUT 22 ICONS,Brazil,unknown
1,Ronaldo,0.0,96,Icon,FUT 22 ICONS,Brazil,unknown
2,Diego Maradona,3150000.0,95,Icon,FUT 22 ICONS,Argentina,unknown
3,Ferenc Puskás,0.0,94,Icon,FUT 22 ICONS,Hungary,unknown
4,Lev Yashin,0.0,94,Icon,FUT 22 ICONS,Russia,unknown
5,Paolo Maldini,0.0,94,Icon,FUT 22 ICONS,Italy,unknown
6,Ronaldo,12300000.0,94,Icon,FUT 22 ICONS,Brazil,unknown
7,Carlos Alberto Torres,0.0,93,Icon,FUT 22 ICONS,Brazil,unknown
8,Eusébio,0.0,93,Icon,FUT 22 ICONS,Portugal,unknown
9,George Best,0.0,93,Icon,FUT 22 ICONS,Northern Ireland,unknown
10,Marco van Basten,0.0,93,Icon,FUT 22 ICONS,Netherlands,unknown
11,Ruud Gullit,0.0,93,Icon,FUT 22 ICONS,Netherlands,unknown
12,Xavier Hernández,0.0,93,Icon,FUT 22 ICONS,Spain,unknown
13,Lionel Messi,880000.0,93,gold rare,Paris SG,Argentina,Ligue 1 Conforama
14,Alessandro Del Piero,0.0,92,Icon,FUT 22 ICONS,Italy,unknown
15,Diego Maradona,0.0,97,Icon,FUT 22 ICONS,Argentina,unknown
16,Zinedine Zidane,0.0,96,Icon,FUT 22 ICONS,France,unknown
17,Pelé,6980000.0,95,Icon,FUT 22 ICONS,Brazil,unknown
18,Johan Cruyff,0.0,94,Icon,FUT 22 ICONS,Netherlands,unknown
19,Mané Garrincha,0.0,94,Icon,FUT 22 ICONS,Brazil,unknown
20,Ronaldinho,0.0,94,Icon,FUT 22 ICONS,Brazil,unknown
21,Zinedine Zidane,3390000.0,94,Icon,FUT 22 ICONS,France,unknown
22,Éric Cantona,0.0,93,Icon,FUT 22 ICONS,France,unknown
23,Franco Baresi,0.0,93,Icon,FUT 22 ICONS,Italy,unknown
24,Lothar Matthäus,0.0,93,Icon,FUT 22 ICONS,Germany,unknown
25,Roberto Baggio,0.0,93,Icon,FUT 22 ICONS,Italy,unknown
26,Thierry Henry,0.0,93,Icon,FUT 22 ICONS,France,unknown
27,Marcos Cafú,0.0,93,Icon,FUT 22 ICONS,Brazil,unknown
28,Lionel Messi,2100000.0,93,otw gold,Paris SG,Argentina,Ligue 1 Conforama
29,Alessandro Nesta,0.0,92,Icon,FUT 22 ICONS,Italy,unknown
30,Pelé,0.0,98,Icon,FUT 22 ICONS,Brazil,unknown
31,Ronaldo,0.0,96,Icon,FUT 22 ICONS,Brazil,unknown
32,Diego Maradona,2450000.0,95,Icon,FUT 22 ICONS,Argentina,unknown
33,Ferenc Puskás,0.0,94,Icon,FUT 22 ICONS,Hungary,unknown
34,Lev Yashin,0.0,94,Icon,FUT 22 ICONS,Russia,unknown
35,Paolo Maldini,0.0,94,Icon,FUT 22 ICONS,Italy,unknown
36,Ronaldo,12000000.0,94,Icon,FUT 22 ICONS,Brazil,unknown
37,Carlos Alberto Torres,0.0,93,Icon,FUT 22 ICONS,Brazil,unknown
38,Eusébio,0.0,93,Icon,FUT 22 ICONS,Portugal,unknown
39,George Best,0.0,93,Icon,FUT 22 ICONS,Northern Ireland,unknown
40,Marco van Basten,0.0,93,Icon,FUT 22 ICONS,Netherlands,unknown
41,Ruud Gullit,0.0,93,Icon,FUT 22 ICONS,Netherlands,unknown
42,Xavier Hernández,0.0,93,Icon,FUT 22 ICONS,Spain,unknown
43,Lionel Messi,884000.0,93,gold rare,Paris SG,Argentina,Ligue 1 Conforama
44,Alessandro Del Piero,0.0,92,Icon,FUT 22 ICONS,Italy,unknown
45,Diego Maradona,0.0,97,Icon,FUT 22 ICONS,Argentina,unknown
46,Zinedine Zidane,0.0,96,Icon,FUT 22 ICONS,France,unknown
47,Pelé,7160000.0,95,Icon,FUT 22 ICONS,Brazil,unknown
48,Johan Cruyff,0.0,94,Icon,FUT 22 ICONS,Netherlands,unknown
49,Mané Garrincha,0.0,94,Icon,FUT 22 ICONS,Brazil,unknown
50,Ronaldinho,0.0,94,Icon,FUT 22 ICONS,Brazil,unknown
51,Zinedine Zidane,3400000.0,94,Icon,FUT 22 ICONS,France,unknown
52,Éric Cantona,0.0,93,Icon,FUT 22 ICONS,France,unknown
53,Franco Baresi,0.0,93,Icon,FUT 22 ICONS,Italy,unknown
54,Lothar Matthäus,0.0,93,Icon,FUT 22 ICONS,Germany,unknown
55,Roberto Baggio,0.0,93,Icon,FUT 22 ICONS,Italy,unknown
56,Thierry Henry,0.0,93,Icon,FUT 22 ICONS,France,unknown
57,Marcos Cafú,0.0,93,Icon,FUT 22 ICONS,Brazil,unknown
58,Lionel Messi,2089999.9999999998,93,otw gold,Paris SG,Argentina,Ligue 1 Conforama
59,Alessandro Nesta,0.0,92,Icon,FUT 22 ICONS,Italy,unknown
60,Andrea Pirlo,0.0,92,Icon,FUT 22 ICONS,Italy,unknown
61,Carles Puyol Saforcada,0.0,92,Icon,FUT 22 ICONS,Spain,unknown
62,Dennis Bergkamp,0.0,92,Icon,FUT 22 ICONS,Netherlands,unknown
63,Fabio Cannavaro,0.0,92,Icon,FUT 22 ICONS,Italy,unknown
64,Gary Lineker,0.0,92,Icon,FUT 22 ICONS,England,unknown
65,Hugo Sánchez,0.0,92,Icon,FUT 22 ICONS,Mexico,unknown
66,Kenny Dalglish,0.0,92,Icon,FUT 22 ICONS,Scotland,unknown
67,Garrincha,1790000.0,92,Icon,FUT 22 ICONS,Brazil,unknown
68,Peter Schmeichel,0.0,92,Icon,FUT 22 ICONS,Denmark,unknown
69,Rivaldo,0.0,92,Icon,FUT 22 ICONS,Brazil,unknown
70,Ryan Giggs,0.0,92,Icon,FUT 22 ICONS,Wales,unknown
71,Iker Casillas,0.0,92,Icon,FUT 22 ICONS,Spain,unknown
72,Cristiano Ronaldo,2670000.0,92,POTM prem,Manchester Utd,Portugal,Premier League
73,Andriy Shevchenko,0.0,91,Icon,FUT 22 ICONS,Ukraine,unknown
74,Clarence Seedorf,0.0,91,Icon,FUT 22 ICONS,Netherlands,unknown
75,Bobby Moore,0.0,92,Icon,FUT 22 ICONS,England,unknown
76,David Beckham,0.0,92,Icon,FUT 22 ICONS,England,unknown
77,Emilio Butragueño,0.0,92,Icon,FUT 22 ICONS,Spain,unknown
78,Ferenc Puskás,2049999.9999999998,92,Icon,FUT 22 ICONS,Hungary,unknown
79,Hristo Stoichkov,0.0,92,Icon,FUT 22 ICONS,Bulgaria,unknown
80,Javier Zanetti,0.0,92,Icon,FUT 22 ICONS,Argentina,unknown
81,Luís Figo,0.0,92,Icon,FUT 22 ICONS,Portugal,unknown
82,Paolo Maldini,2450000.0,92,Icon,FUT 22 ICONS,Italy,unknown
83,Raúl González Blanco,0.0,92,Icon,FUT 22 ICONS,Spain,unknown
84,Ruud van Nistelrooy,0.0,92,Icon,FUT 22 ICONS,Netherlands,unknown
85,Samuel Eto'o,0.0,92,Icon,FUT 22 ICONS,Cameroon,unknown
86,Robert Lewandowski,40500.0,92,gold rare,FC Bayern,Poland,Bundesliga
87,Alan Shearer,0.0,91,Icon,FUT 22 ICONS,England,unknown
88,Bastian Schweinsteiger,0.0,91,Icon,FUT 22 ICONS,Germany,unknown
89,David Trezeguet,0.0,91,Icon,FUT 22 ICONS,France,unknown
90,Didier Drogba,0.0,91,Icon,FUT 22 ICONS,Côte d'Ivoire,unknown
91,Pelé,4400000.0,91,Icon,FUT 22 ICONS,Brazil,unknown
92,Eusébio,3680000.0,91,Icon,FUT 22 ICONS,Portugal,unknown
93,Fernando Torres,0.0,91,Icon,FUT 22 ICONS,Spain,unknown
94,Gheorghe Hagi,0.0,91,Icon,FUT 22 ICONS,Romania,unknown
95,Johan Cruyff,4320000.0,91,Icon,FUT 22 ICONS,Netherlands,unknown
96,Kaká,0.0,91,Icon,FUT 22 ICONS,Brazil,unknown
97,Lev Yashin,620000.0,91,Icon,FUT 22 ICONS,Russia,unknown
98,Marcel Desailly,0.0,91,Icon,FUT 22 ICONS,France,unknown
99,Michael Ballack,0.0,91,Icon,FUT 22 ICONS,Germany,unknown
100,Michael Owen,0.0,91,Icon,FUT 22 ICONS,England,unknown
101,Patrick Kluivert,0.0,91,Icon,FUT 22 ICONS,Netherlands,unknown
102,Paul Scholes,0.0,91,Icon,FUT 22 ICONS,England,unknown
103,Petr Cech,0.0,91,Icon,FUT 22 ICONS,Czech Republic,unknown
104,Robert Pirès,0.0,91,Icon,FUT 22 ICONS,France,unknown
105,Diego Maradona,2069999.9999999998,91,Icon,FUT 22 ICONS,Argentina,unknown
106,Edwin van der Sar,0.0,91,Icon,FUT 22 ICONS,Netherlands,unknown
107,Fernando Hierro Ruiz,0.0,91,Icon,FUT 22 ICONS,Spain,unknown
108,Franco Baresi,266000.0,91,Icon,FUT 22 ICONS,Italy,unknown
109,Ian Rush,0.0,91,Icon,FUT 22 ICONS,Wales,unknown
110,Riquelme,0.0,91,Icon,FUT 22 ICONS,Argentina,unknown
111,Laurent Blanc,0.0,91,Icon,FUT 22 ICONS,France,unknown
112,Lothar Matthäus,2520000.0,91,Icon,FUT 22 ICONS,Germany,unknown
113,Marco van Basten,340000.0,91,Icon,FUT 22 ICONS,Netherlands,unknown
114,Michael Laudrup,0.0,91,Icon,FUT 22 ICONS,Denmark,unknown
115,Miroslav Klose,0.0,91,Icon,FUT 22 ICONS,Germany,unknown
116,Patrick Vieira,0.0,91,Icon,FUT 22 ICONS,France,unknown
117,Pavel Nedvěd,0.0,91,Icon,FUT 22 ICONS,Czech Republic,unknown
118,Philipp Lahm,0.0,91,Icon,FUT 22 ICONS,Germany,unknown
119,Roberto Baggio,805000.0,91,Icon,FUT 22 ICONS,Italy,unknown
120,Roberto Carlos,0.0,91,Icon,FUT 22 ICONS,Brazil,unknown
121,Ronaldinho,3520000.0,91,Icon,FUT 22 ICONS,Brazil,unknown
